SampleID,qPCR16S
1345C,561609.3356
1345D,1817844.195
1345E,40236.87752
1345I,122409.0879
1345K,198505026.2
1351D,63564925.31
1351E,146296588
1351F,111989243
1351G,88756327.94
1351H,27632685.81
1351I,2267.387407
1351J,6010955.168
1351K,33.41686213
1351L,1922488.442
1352A,22974373.47
1352B,2606322.321
1352C,17444679.56
1354A,132941304.8
1354G,127982705.8
1354H,44258783.91
1354I,24551609
1354J,29391433.71
1354K,11431158.51
1354L,36074889.57
1354M,20585304.79
1354N,56297779.87
1354O,223591417.9
1354P,47138121.51
1354Q,33517963.2
1354R,7244307.978
1361A,109058315.5
1361B,119032453.3
1361C,1673848.054
1361D,11102619
1361E,39219.53151
1361F,13162168.49
1361G,23565398.01
1361H,5584311.015
1361I,48104.37951
1361J,23134115.1
1361K,4809594.059
1361L,10771285.09
1361M,4563.620709
1361N,17599.96248
1361Q,376.3955638
1361R,6440.904139
1361S,307825.058
1361T,1206.909292
1361U,206550.9436
1361V,4260.903366
1361W,9141381.808
1361X,16220390.31
1361Y,2815166.431
1362A,27064904.87
1362B,133568664.1
1362C,203007844.7
1362D,16528519.53
1362E,15005824.77
1362F,46696074.25
1362G,1135550.762
1362H,50517654.48
1362I,20749246.41
1362J,19460450.73
1362K,441387488.2
1362L,65293632.56
1362M,229739328.7
1362N,133327479.7
1362O,103504215.8
1362P,224891.2839
1362Q,5140.268984
1362R,23024710.17
1362S,766052801.1
1362T,1753624278
1362U,698873235.8
1362V,1265379496
1364A,8939025.021
1364B,177475757.6
1364C,51797040.31
1364E,3271.92195
1364F,12234554.71
1364G,70497385.22
1364H,27401389.3
1364I,46567073.91
1364J,292475527.8
1364K,55469100
1364L,12029295.7
1364M,44458863.18
1364N,22823446.65
1364O,72907512.97
1364P,46864336.34
1364Q,3864735.44
1364R,36653175.85
1364S,23643904
1364T,22293862
1364U,35785406.37
1364V,87813124.8
1364W,57742915.97
1364X,389573827.2
1366A,134000569.6
1366B,119477939.2
1366C,198839533.9
